,State,Date,Expected Doses Administered
0,India,14/06/2021,253247006.3251993
1,India,15/06/2021,256030763.5365399
2,India,16/06/2021,258853070.98507607
3,India,17/06/2021,261683074.04014337
4,India,18/06/2021,264514613.33374488
5,India,19/06/2021,267346459.2995787
6,India,20/06/2021,270178366.4849796
7,Andaman and Nicobar Islands,14/06/2021,131330.44403156594
8,Andaman and Nicobar Islands,15/06/2021,131597.8880631319
9,Andaman and Nicobar Islands,16/06/2021,131865.33209469783
10,Andaman and Nicobar Islands,17/06/2021,132132.77612626378
11,Andaman and Nicobar Islands,18/06/2021,132400.22015782972
12,Andaman and Nicobar Islands,19/06/2021,132667.66418939567
13,Andaman and Nicobar Islands,20/06/2021,132935.1082209616
14,Andhra Pradesh,14/06/2021,12085703.03137232
15,Andhra Pradesh,15/06/2021,12229432.104799172
16,Andhra Pradesh,16/06/2021,12372446.11638737
17,Andhra Pradesh,17/06/2021,12514748.62361781
18,Andhra Pradesh,18/06/2021,12656343.166272681
19,Andhra Pradesh,19/06/2021,12797233.26652352
20,Andhra Pradesh,20/06/2021,12937422.429018818
21,Arunachal Pradesh,14/06/2021,419382.26836668205
22,Arunachal Pradesh,15/06/2021,424185.80420406413
23,Arunachal Pradesh,16/06/2021,428976.3846395593
24,Arunachal Pradesh,17/06/2021,433737.6701170886
25,Arunachal Pradesh,18/06/2021,438466.5625700473
26,Arunachal Pradesh,19/06/2021,443162.62422217056
27,Arunachal Pradesh,20/06/2021,447825.9507351677
28,Assam,14/06/2021,4885331.004667839
29,Assam,15/06/2021,4954389.708397533
30,Assam,16/06/2021,5002692.309161859
31,Assam,17/06/2021,5057656.690688868
32,Assam,18/06/2021,5123862.548263842
33,Assam,19/06/2021,5172849.341538072
34,Assam,20/06/2021,5213403.282898322
35,Bihar,14/06/2021,12157302.812913492
36,Bihar,15/06/2021,12288846.123516014
37,Bihar,16/06/2021,12421616.124215277
38,Bihar,17/06/2021,12554626.139133872
39,Bihar,18/06/2021,12687683.115241472
40,Bihar,19/06/2021,12820749.279776651
41,Bihar,20/06/2021,12953817.242119834
42,Chandigarh,14/06/2021,409348.5666300787
43,Chandigarh,15/06/2021,413392.0627888341
44,Chandigarh,16/06/2021,417429.0978194759
45,Chandigarh,17/06/2021,421454.27197661577
46,Chandigarh,18/06/2021,425466.1808341392
47,Chandigarh,19/06/2021,429464.48469567066
48,Chandigarh,20/06/2021,433449.12752233713
49,Chhattisgarh,14/06/2021,6335805.327277008
50,Chhattisgarh,15/06/2021,6341607.487442289
51,Chhattisgarh,16/06/2021,6347537.020998804
52,Chhattisgarh,17/06/2021,6353519.603071083
53,Chhattisgarh,18/06/2021,6359524.278808275
54,Chhattisgarh,19/06/2021,6365538.156122971
55,Chhattisgarh,20/06/2021,6371555.8657139735
56,Dadra and Nagar Haveli and Daman and Diu,14/06/2021,212982.86499331793
57,Dadra and Nagar Haveli and Daman and Diu,15/06/2021,195969.12996715636
58,Dadra and Nagar Haveli and Daman and Diu,16/06/2021,200513.74068181557
59,Dadra and Nagar Haveli and Daman and Diu,17/06/2021,204367.01227706284
60,Dadra and Nagar Haveli and Daman and Diu,18/06/2021,207634.11322783213
61,Dadra and Nagar Haveli and Daman and Diu,19/06/2021,210404.21348125915
62,Dadra and Nagar Haveli and Daman and Diu,20/06/2021,212752.91819827427
63,Delhi,14/06/2021,6147996.428813923
64,Delhi,15/06/2021,6201962.857627846
65,Delhi,16/06/2021,6255929.286441769
66,Delhi,17/06/2021,6309895.715255693
67,Delhi,18/06/2021,6363862.144069616
68,Delhi,19/06/2021,6417828.572883539
69,Delhi,20/06/2021,6471795.001697462
70,Goa,14/06/2021,650791.4153435163
71,Goa,15/06/2021,661446.7063828075
72,Goa,16/06/2021,672173.7320233267
73,Goa,17/06/2021,682972.492265074
74,Goa,18/06/2021,693842.9871080494
75,Goa,19/06/2021,704785.2165522529
76,Goa,20/06/2021,715799.1805976843
77,Gujarat,14/06/2021,20566030.197524726
78,Gujarat,15/06/2021,20828988.395049453
79,Gujarat,16/06/2021,21091946.59257418
80,Gujarat,17/06/2021,21354904.790098906
81,Gujarat,18/06/2021,21617862.987623632
82,Gujarat,19/06/2021,21880821.18514836
83,Gujarat,20/06/2021,22143779.382673085
84,Haryana,14/06/2021,6836115.181684846
85,Haryana,15/06/2021,6903543.319035236
86,Haryana,16/06/2021,6970971.4563856255
87,Haryana,17/06/2021,7038399.593736015
88,Haryana,18/06/2021,7105827.731086405
89,Haryana,19/06/2021,7173255.868436795
90,Haryana,20/06/2021,7240684.005787184
91,Himachal Pradesh,14/06/2021,2594696.441906322
92,Himachal Pradesh,15/06/2021,2602621.483347522
93,Himachal Pradesh,16/06/2021,2610546.5247887224
94,Himachal Pradesh,17/06/2021,2618471.5662299227
95,Himachal Pradesh,18/06/2021,2626396.607671123
96,Himachal Pradesh,19/06/2021,2634321.6491123233
97,Himachal Pradesh,20/06/2021,2642246.6905535236
98,Jammu and Kashmir,14/06/2021,3711912.7694767686
99,Jammu and Kashmir,15/06/2021,3742884.538953537
100,Jammu and Kashmir,16/06/2021,3773856.3084303057
101,Jammu and Kashmir,17/06/2021,3804828.0779070742
102,Jammu and Kashmir,18/06/2021,3835799.847383843
103,Jammu and Kashmir,19/06/2021,3866771.6168606114
104,Jammu and Kashmir,20/06/2021,3897743.38633738
105,Jharkhand,14/06/2021,5204912.152148186
106,Jharkhand,15/06/2021,5302143.304296372
107,Jharkhand,16/06/2021,5399374.456444559
108,Jharkhand,17/06/2021,5496605.608592745
109,Jharkhand,18/06/2021,5593836.760740931
110,Jharkhand,19/06/2021,5691067.912889117
111,Jharkhand,20/06/2021,5788299.065037304
112,Karnataka,14/06/2021,17228204.129377615
113,Karnataka,15/06/2021,17457516.25875523
114,Karnataka,16/06/2021,17686828.388132844
115,Karnataka,17/06/2021,17916140.51751046
116,Karnataka,18/06/2021,18145452.646888074
117,Karnataka,19/06/2021,18374764.77626569
118,Karnataka,20/06/2021,18604076.905643303
119,Kerala,14/06/2021,11340595.635270232
120,Kerala,15/06/2021,11457483.692984609
121,Kerala,16/06/2021,11569360.242189497
122,Kerala,17/06/2021,11685339.631505461
123,Kerala,18/06/2021,11797960.092677297
124,Kerala,19/06/2021,11913330.453424055
125,Kerala,20/06/2021,12026449.516331837
126,Ladakh,14/06/2021,191881.5372630828
127,Ladakh,15/06/2021,192782.62903105433
128,Ladakh,16/06/2021,193752.57950058076
129,Ladakh,17/06/2021,194777.95102345792
130,Ladakh,18/06/2021,195847.92828366594
131,Ladakh,19/06/2021,196953.80655409544
132,Ladakh,20/06/2021,198088.57981902672
133,Lakshadweep,14/06/2021,47683.68589039819
134,Lakshadweep,15/06/2021,48663.585712712855
135,Lakshadweep,16/06/2021,49643.48553502752
136,Lakshadweep,17/06/2021,50623.38535734218
137,Lakshadweep,18/06/2021,51603.28517965684
138,Lakshadweep,19/06/2021,52583.185001971506
139,Lakshadweep,20/06/2021,53563.08482428617
140,Madhya Pradesh,14/06/2021,14187442.021706684
141,Madhya Pradesh,15/06/2021,14264388.306914343
142,Madhya Pradesh,16/06/2021,14483648.86792517
143,Madhya Pradesh,17/06/2021,14625618.295504997
144,Madhya Pradesh,18/06/2021,14769834.052834086
145,Madhya Pradesh,19/06/2021,14988139.34060871
146,Madhya Pradesh,20/06/2021,15071600.415620202
147,Maharashtra,14/06/2021,26146382.27915555
148,Maharashtra,15/06/2021,26364518.116017986
149,Maharashtra,16/06/2021,26592075.002714638
150,Maharashtra,17/06/2021,26822578.293711953
151,Maharashtra,18/06/2021,27054003.063573696
152,Maharashtra,19/06/2021,27285716.023110356
153,Maharashtra,20/06/2021,27517519.113079667
154,Manipur,14/06/2021,542422.3947293877
155,Manipur,15/06/2021,546001.1482673946
156,Manipur,16/06/2021,549734.9944967757
157,Manipur,17/06/2021,553437.546875154
158,Manipur,18/06/2021,557146.4135749998
159,Manipur,19/06/2021,560854.0062016868
160,Manipur,20/06/2021,564561.855904676
161,Meghalaya,14/06/2021,505176.81553974445
162,Meghalaya,15/06/2021,508682.2221415969
163,Meghalaya,16/06/2021,512187.62874344934
164,Meghalaya,17/06/2021,515693.0353453018
165,Meghalaya,18/06/2021,519198.44194715424
166,Meghalaya,19/06/2021,522703.8485490067
167,Meghalaya,20/06/2021,526209.2551508591
168,Mizoram,14/06/2021,346622.3690849536
169,Mizoram,15/06/2021,350046.4492417003
170,Mizoram,16/06/2021,353596.7070094788
171,Mizoram,17/06/2021,356891.34718355996
172,Mizoram,18/06/2021,359850.4238838169
173,Mizoram,19/06/2021,362537.8356324676
174,Mizoram,20/06/2021,365056.86694791843
175,Nagaland,14/06/2021,342950.4356564623
176,Nagaland,15/06/2021,350418.817179868
177,Nagaland,16/06/2021,357437.0326050852
178,Nagaland,17/06/2021,363282.0078008016
179,Nagaland,18/06/2021,368146.07001700066
180,Nagaland,19/06/2021,372972.35454654763
181,Nagaland,20/06/2021,378715.8467309913
182,Odisha,14/06/2021,9047899.65771517
183,Odisha,15/06/2021,9108420.31543034
184,Odisha,16/06/2021,9168940.97314551
185,Odisha,17/06/2021,9229461.630860679
186,Odisha,18/06/2021,9289982.288575849
187,Odisha,19/06/2021,9350502.946291018
188,Odisha,20/06/2021,9411023.604006188
189,Puducherry,14/06/2021,330228.637648694
190,Puducherry,15/06/2021,333036.11784947955
191,Puducherry,16/06/2021,335768.9134012416
192,Puducherry,17/06/2021,338426.49902995204
193,Puducherry,18/06/2021,341021.92279044003
194,Puducherry,19/06/2021,343564.3883672902
195,Puducherry,20/06/2021,346061.960970682
196,Punjab,14/06/2021,5259177.468532587
197,Punjab,15/06/2021,5300842.202099446
198,Punjab,16/06/2021,5343130.24362524
199,Punjab,17/06/2021,5385603.444225473
200,Punjab,18/06/2021,5428131.647946323
201,Punjab,19/06/2021,5470676.1908246605
202,Punjab,20/06/2021,5513225.587392469
203,Rajasthan,14/06/2021,19871565.961752
204,Rajasthan,15/06/2021,20037601.664501414
205,Rajasthan,16/06/2021,20210474.344035435
206,Rajasthan,17/06/2021,20385843.966962256
207,Rajasthan,18/06/2021,20561663.003001854
208,Rajasthan,19/06/2021,20736968.475746375
209,Rajasthan,20/06/2021,20911310.473917156
210,Sikkim,14/06/2021,274631.7123650622
211,Sikkim,15/06/2021,278144.6856391092
212,Sikkim,16/06/2021,281679.68426081195
213,Sikkim,17/06/2021,285193.5098387706
214,Sikkim,18/06/2021,288727.6891377418
215,Sikkim,19/06/2021,292242.30233350827
216,Sikkim,20/06/2021,295775.72449272586
217,Tamil Nadu,14/06/2021,11049845.254558776
218,Tamil Nadu,15/06/2021,11213648.247157352
219,Tamil Nadu,16/06/2021,11365796.290395562
220,Tamil Nadu,17/06/2021,11511012.99956145
221,Tamil Nadu,18/06/2021,11652019.33312968
222,Tamil Nadu,19/06/2021,11790383.004018791
223,Tamil Nadu,20/06/2021,11927007.61835874
224,Telangana,14/06/2021,8160101.437213686
225,Telangana,15/06/2021,8339082.874427373
226,Telangana,16/06/2021,8518064.31164106
227,Telangana,17/06/2021,8697045.748854747
228,Telangana,18/06/2021,8876027.186068434
229,Telangana,19/06/2021,9055008.623282121
230,Telangana,20/06/2021,9233990.060495809
231,Tripura,14/06/2021,1664176.766470238
232,Tripura,15/06/2021,1669596.1187539708
233,Tripura,16/06/2021,1673668.6092363768
234,Tripura,17/06/2021,1676983.1677720293
235,Tripura,18/06/2021,1682498.963200055
236,Tripura,19/06/2021,1688186.0069417125
237,Tripura,20/06/2021,1691912.4285447227
238,Uttar Pradesh,14/06/2021,23242520.683788244
239,Uttar Pradesh,15/06/2021,23528922.656538293
240,Uttar Pradesh,16/06/2021,23823623.988586776
241,Uttar Pradesh,17/06/2021,24118601.945681833
242,Uttar Pradesh,18/06/2021,24412136.964644913
243,Uttar Pradesh,19/06/2021,24703868.1307928
244,Uttar Pradesh,20/06/2021,24993727.336532477
245,Uttarakhand,14/06/2021,3353830.6049127416
246,Uttarakhand,15/06/2021,3386387.416343798
247,Uttarakhand,16/06/2021,3418614.080359753
248,Uttarakhand,17/06/2021,3450692.407028665
249,Uttarakhand,18/06/2021,3482704.0847779685
250,Uttarakhand,19/06/2021,3514685.8167410395
251,Uttarakhand,20/06/2021,3546654.093870658
252,West Bengal,14/06/2021,17813769.5018609
253,West Bengal,15/06/2021,18005896.365246117
254,West Bengal,16/06/2021,18154378.080483038
255,West Bengal,17/06/2021,18288872.05587271
256,West Bengal,18/06/2021,18448464.79864902
257,West Bengal,19/06/2021,18609767.576239094
258,West Bengal,20/06/2021,18758998.310657844
